11407.340163	8304.401380
11347.063957	8384.812097
11337.664301	8388.820055
11336.661555	8400.523181
11331.787600	8380.935625
11330.771397	8386.278889
11330.043001	8383.477295
11329.766551	8366.643889
11309.249563	8389.921106
11265.059604	8333.501104
11265.059604	8333.501104
10885.946144	9213.451389
9945.491717	7125.389181
9758.560652	5091.207092
9559.044785	5082.036275
8565.181188	5090.578304
8460.561416	5160.364355
8444.960370	5176.878112
7415.456577	5003.320719
6868.651791	4355.913226
6593.096479	3960.781462
6425.715777	3559.359863
6116.270017	3569.935327
5310.447092	3681.688983
5103.661758	3724.381501
4609.987302	3792.275927
3081.145576	2711.086637
2995.565295	3137.136968
2741.295199	1783.651580
2644.463451	2170.775118
2409.203079	1358.741881
2346.283230	1069.625641
2174.767575	822.164760
1679.326915	739.259857
819.789720	336.985196
125.105664	56.331118
121.508579	55.953049
