59	51
179	62
189	68
198	86
198	112
208	132
221	141
329	153
353	159
833	198
815	386
1175	462
1191	475
1244	659
1270	668
2312	851
2369	1184
2376	1189
2418	1408
2428	1435
2456	1458
2765	1802
2574	2129
3253	2525
3142	2733
3346	2978
3974	3347
4332	3671
4383	3810
6566	3507
6599	3727
6592	3988
6904	4008
6834	4963
7769	5028
8083	4896
8097	4884
8381	5226
8496	5136
8617	5058
8684	5041
8725	5043
8740	5037
9457	5071
9665	5064
9718	5041
9755	5061
9762	5082
9857	5141
9855	5235
9802	5261
9677	5466
9603	7060
10711	7271
10777	7278
11138	7345
11171	7323
11217	7327
11243	7355
11239	7389
11221	7403
11192	7410
10955	8957
10934	9188
10942	9286
10897	9291
10876	9147
10903	9062
10905	8993
10932	8953
10946	8913
11168	7471
11176	7413
11168	7396
11147	7377
11130	7355
10774	7287
10708	7270
9869	7111
9920	6221
9940	5651
9935	5489
9854	5177
9831	5151
9756	5105
9694	5084
9655	5079
9467	5084
9043	5063
8947	5063
8742	5054
8725	5043
8684	5041
8617	5058
8496	5136
8381	5226
8109	4895
7787	5030
6834	4963
6904	4008
7127	4027
7125	3997
7069	3809
7021	3584
6998	3460
5901	3613
4521	3804
4232	3839
4219	3793
3867	3477
3775	3409
3716	3384
3549	3551
2955	3107
2940	3088
3081	2708
3095	2702
3136	2724
3253	2525
2574	2129
2765	1802
2456	1458
2409	1420
2385	1291
2375	1255
2364	1192
2369	1184
2312	851
1270	668
1244	659
1191	475
1175	462
815	386
833	198
353	159
306	160
142	152
100	145
63	70
59	51
